Latitude,Longitude,Source File,Stop Name,Line,Distance (m), Complex ID
40.755882,-74.00191,Subway_lines.csv,34 St-Hudson Yards,7Line,0,471
40.755477,-73.987691,Subway_lines.csv,Times Sq-42 St,7Line,0,611
40.753821,-73.981963,Subway_lines.csv,5 Av,7Line,0,609
40.751431,-73.976041,Subway_lines.csv,Grand Central-42 St,7Line,0,610
40.742626,-73.953581,Subway_lines.csv,Vernon Blvd-Jackson Av,7Line,0,464
40.742216,-73.948916,Subway_lines.csv,Hunters Point Av,7Line,0,463
40.747023,-73.945264,Subway_lines.csv,Court Sq,7Line,0,606
40.750582,-73.940202,Subway_lines.csv,Queensboro Plaza,7Line,0,461
40.744587,-73.930997,Subway_lines.csv,33 St-Rawson St,7Line,0,460
40.743781,-73.924016,Subway_lines.csv,40 St-Lowery St,7Line,0,459
40.743132,-73.918435,Subway_lines.csv,46 St-Bliss St,7Line,0,458
40.744149,-73.912549,Subway_lines.csv,52 St,7Line,0,457
40.74563,-73.902984,Subway_lines.csv,61 St-Woodside,7Line,0,456
40.746325,-73.896403,Subway_lines.csv,69 St,7Line,0,455
40.746848,-73.891394,Subway_lines.csv,74 St-Broadway,7Line,0,616
40.747659,-73.883697,Subway_lines.csv,82 St-Jackson Hts,7Line,0,453
40.748408,-73.876613,Subway_lines.csv,90 St-Elmhurst Av,7Line,0,452
40.749145,-73.869527,Subway_lines.csv,Junction Blvd,7Line,0,451
40.749865,-73.8627,Subway_lines.csv,103 St-Corona Plaza,7Line,0,450
40.75173,-73.855334,Subway_lines.csv,111 St,7Line,0,449
40.754622,-73.845625,Subway_lines.csv,Mets-Willets Point,7Line,0,448
40.7596,-73.83003,Subway_lines.csv,Flushing-Main St,7Line,0,447
40.603995,-73.755405,Subway_lines.csv,Far Rockaway-Mott Av,ALine,0,209
40.600066,-73.761353,Subway_lines.csv,Beach 25 St,ALine,0,208
40.595398,-73.768175,Subway_lines.csv,Beach 36 St,ALine,0,207
40.592943,-73.776013,Subway_lines.csv,Beach 44 St,ALine,0,206
40.592374,-73.788522,Subway_lines.csv,Beach 60 St,ALine,0,205
40.590927,-73.796924,Subway_lines.csv,Beach 67 St,ALine,0,204
40.608382,-73.815925,Subway_lines.csv,Broad Channel,ALine,0,199
40.660476,-73.830301,Subway_lines.csv,Howard Beach-JFK Airport,ALine,0,198
40.668234,-73.834058,Subway_lines.csv,Aqueduct-N Conduit Av,ALine,0,197
40.672097,-73.835919,Subway_lines.csv,Aqueduct Racetrack,ALine,0,196
40.680429,-73.843853,Subway_lines.csv,Rockaway Blvd,ALine,0,192
40.679843,-73.85147,Subway_lines.csv,88 St,ALine,0,191
40.679371,-73.858992,Subway_lines.csv,80 St,ALine,0,190
40.677044,-73.86505,Subway_lines.csv,Grant Av,ALine,0,189
40.675377,-73.872106,Subway_lines.csv,Euclid Av,ALine,0,188
40.67413,-73.88075,Subway_lines.csv,Shepherd Av,ALine,0,187
40.67271,-73.890358,Subway_lines.csv,Van Siclen Av,ALine,0,186
40.674542,-73.896548,Subway_lines.csv,Liberty Av,ALine,0,185
40.678334,-73.905316,Subway_lines.csv,Broadway Junction,ALine,0,621
40.67834,-73.911946,Subway_lines.csv,Rockaway Av,ALine,0,183
40.678822,-73.920786,Subway_lines.csv,Ralph Av,ALine,0,182
40.679921,-73.940858,Subway_lines.csv,Kingston-Throop Avs,ALine,0,180
40.679364,-73.930729,Subway_lines.csv,Utica Av,ALine,0,181
40.680438,-73.950426,Subway_lines.csv,Nostrand Av,ALine,0,179
40.68138,-73.956848,Subway_lines.csv,Franklin Av,ALine,0,627
40.683263,-73.965838,Subway_lines.csv,Clinton-Washington Avs,ALine,0,177
40.686113,-73.973946,Subway_lines.csv,Lafayette Av,ALine,0,176
40.688484,-73.985001,Subway_lines.csv,Hoyt-Schermerhorn Sts,ALine,0,175
40.692338,-73.987342,Subway_lines.csv,Jay St-MetroTech,ALine,0,636
40.699337,-73.990531,Subway_lines.csv,High St,ALine,0,173
40.710197,-74.007691,Subway_lines.csv,Fulton St,ALine,0,628
40.714111,-74.008585,Subway_lines.csv,Chambers St,ALine,0,624
40.720824,-74.005229,Subway_lines.csv,Canal St,ALine,0,169
40.726227,-74.003739,Subway_lines.csv,Spring St,ALine,0,168
40.732338,-74.000495,Subway_lines.csv,W 4 St-Wash Sq,ALine,0,167
40.740893,-74.00169,Subway_lines.csv,14 St,ALine,0,618
40.745906,-73.998041,Subway_lines.csv,23 St,ALine,0,165
40.752287,-73.993391,Subway_lines.csv,34 St-Penn Station,ALine,0,164
